3cpio	0.14.0-1ubuntu1
7zip	26.00+dfsg-1
acl	2.3.2-2
adduser	3.153ubuntu1
adwaita-icon-theme	50.0-1
alsa-topology-conf	1.2.5.1-3build1
alsa-ucm-conf	1.2.15.3-1ubuntu1.2
alsa-utils	1.2.15.2-1ubuntu1
amd64-microcode	3.20251202.1ubuntu2
apparmor	5.0.0~beta1-0ubuntu7
apport	2.34.0-0ubuntu2
apport-core-dump-handler	2.34.0-0ubuntu2
apport-symptoms	0.25build1
appstream	1.1.2-1
apt	3.2.0
apt-transport-https	3.2.0
at-spi2-common	2.60.4-0ubuntu0.1
at-spi2-core	2.60.4-0ubuntu0.1
autoconf	2.72-3.1ubuntu2
automake	1:1.18.1-3build1
autotools-dev	20240727.1build1
base-files	14ubuntu6.1
base-passwd	3.6.8
bash	5.3-2ubuntu1
bash-completion	1:2.16.0-8build1
bcache-tools	1.0.8-5ubuntu1
bind9-dnsutils	1:9.20.18-1ubuntu2.1
bind9-host	1:9.20.18-1ubuntu2.1
bind9-libs:amd64	1:9.20.18-1ubuntu2.1
binutils	2.46-3ubuntu2
binutils-common:amd64	2.46-3ubuntu2
binutils-x86-64-linux-gnu	2.46-3ubuntu2
bison	2:3.8.2+dfsg-1build4
bpfcc-tools	0.35.0+ds-1ubuntu2
bpftool	7.7.0+7.0.0-29.29
bpftrace	0.25.0-1ubuntu1
bsdextrautils	2.41.3-3ubuntu2
bsdutils	1:2.41.3-3ubuntu2
btrfs-progs	6.17.1-1build1
bubblewrap	0.11.1-1ubuntu0.1
build-essential	12.12ubuntu2.26.04.2
busybox-initramfs	1:1.37.0-7ubuntu1
busybox-static	1:1.37.0-7ubuntu1
bzip2	1.0.8-6build2
ca-certificates	20260601~26.04.1
chrony	4.8-2ubuntu1
cifs-utils	2:7.4-1ubuntu0.26.04.3
cloud-guest-utils	0.33-1build1
cloud-init	26.1-0ubuntu2
cloud-init-base	26.1-0ubuntu2
cmake	4.2.3-2ubuntu2
cmake-data	4.2.3-2ubuntu2
console-setup	1.237ubuntu3
console-setup-linux	1.237ubuntu3
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
cpio	2.15+dfsg-2.1
cpp	4:15.2.0-5ubuntu1
cpp-15	15.2.0-16ubuntu1
cpp-15-x86-64-linux-gnu	15.2.0-16ubuntu1
cpp-x86-64-linux-gnu	4:15.2.0-5ubuntu1
crash	9.0.1+~16.3-1ubuntu1
cryptsetup	2:2.8.4-1ubuntu4
cryptsetup-bin	2:2.8.4-1ubuntu4
curl	8.18.0-1ubuntu2.3
dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4
dbus-x11	1.16.2-2ubuntu4
dconf-gsettings-backend:amd64	0.49.0-4
dconf-service	0.49.0-4
debconf	1.5.92
debianutils	5.23.2build1
debootstrap	1.0.142ubuntu1
dhcpcd-base	1:10.3.0-7
diffutils	1:3.12-1
dirmngr	2.4.8-4ubuntu3
distro-info	1.15
distro-info-data	0.72-0ubuntu0.26.04.1
dkms	3.2.2-1ubuntu1
dmeventd	2:1.02.205-2ubuntu3
dmidecode	3.6-2build1
dmsetup	2:1.02.205-2ubuntu3
dosfstools	4.2-1.2build1
dpkg	1.23.7ubuntu1
dpkg-dev	1.23.7ubuntu1
dracut	110-11
dracut-core	110-11
dracut-install	110-11
e2fsprogs	1.47.2-3ubuntu4
eatmydata	131-2build1
efibootmgr	18-4ubuntu1
ethtool	1:6.19-1
evemu-tools	2.7.0-4build2
evtest	1:1.36-1
fakeroot	1.37.2-1
fdisk	2.41.3-3ubuntu2
feh	3.11.2-2
ffmpeg	7:8.0.1-3ubuntu2
file	1:5.46-5build2
finalrd	9build2
findutils	4.10.0-3build2
firmware-sof-signed	2025.12.2-1
fontconfig	2.17.1-3ubuntu1
fontconfig-config	2.17.1-3ubuntu1
fonts-dejavu	2.37-8build1
fonts-dejavu-core	2.37-8build1
fonts-dejavu-extra	2.37-8build1
fonts-dejavu-mono	2.37-8build1
fonts-droid-fallback	1:8.1.0r7-1~1.gbp36536bbuild1
